8_21_female
Sequence: Alpha - C A B B A C,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
8,Block C,scrambled words easy,GO,Slide196S0,square,False,no response,nan
8,Block C,scrambled words easy,NO GO,Slide73S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide56S0,square,True,space,0.474305
8,Block C,scrambled words easy,GO,Slide186S0,square,True,space,0.505984
8,Block C,scrambled words easy,GO,Slide21S0,square,True,space,0.501348
8,Block C,scrambled words easy,GO,Slide1S0,square,True,space,0.457732
8,Block C,scrambled words easy,NO GO,Slide200S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide31S0,square,True,space,0.651136
8,Block C,scrambled words easy,GO,Slide87S0,square,True,space,0.524470
8,Block C,scrambled words easy,NO GO,Slide202S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide67S0,square,True,space,0.559432
8,Block C,scrambled words easy,GO,Slide153S0,square,True,space,0.521460
8,Block C,scrambled words easy,GO,Slide209S0,square,True,space,0.551186
8,Block C,scrambled words easy,GO,Slide62S0,square,True,space,0.535319
8,Block C,scrambled words easy,GO,Slide129S0,square,True,space,0.544964
8,Block C,scrambled words easy,GO,Slide182S0,square,True,space,0.621656
8,Block C,scrambled words easy,NO GO,Slide210S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide15S0,square,True,space,0.628456
8,Block C,scrambled words easy,GO,Slide66S0,square,True,space,0.505509
8,Block C,scrambled words easy,GO,Slide81S0,square,True,space,0.602214
8,Block C,scrambled words easy,NO GO,Slide90S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide80S0,square,True,space,0.556691
8,Block C,scrambled words easy,GO,Slide186S0,square,True,space,0.453037
8,Block C,scrambled words easy,GO,Slide199S0,square,True,space,0.517131
8,Block C,scrambled words easy,GO,Slide11S0,square,True,space,0.552019
8,Block C,scrambled words easy,GO,Slide89S0,square,True,space,0.514287
8,Block C,scrambled words easy,NO GO,Slide160S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide211S0,square,True,space,0.531538
8,Block C,scrambled words easy,GO,Slide93S0,square,True,space,0.793488
8,Block C,scrambled words easy,NO GO,Slide27S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide157S0,square,True,space,0.610734
8,Block C,scrambled words easy,GO,Slide125S0,square,True,space,0.716134
8,Block C,scrambled words easy,GO,Slide98S0,square,True,space,0.585931
8,Block C,scrambled words easy,GO,Slide143S0,square,True,space,0.458757
8,Block C,scrambled words easy,GO,Slide175S0,square,True,space,0.470339
8,Block C,scrambled words easy,NO GO,Slide95S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide126S0,square,True,space,0.475026
8,Block C,scrambled words easy,GO,Slide85S0,square,True,space,0.491107
8,Block C,scrambled words easy,GO,Slide196S0,square,True,space,0.507743
8,Block C,scrambled words easy,GO,Slide39S0,square,True,space,0.618541
8,Block C,scrambled words easy,GO,Slide123S0,square,True,space,0.659103
8,Block C,scrambled words easy,GO,Slide21S0,square,True,space,0.454496
8,Block C,scrambled words easy,NO GO,Slide188S0,easy,True,no response,nan
8,Block C,scrambled words easy,GO,Slide129S0,square,True,space,0.574445
8,Block C,scrambled words easy,GO,Slide39S0,square,True,space,0.589357
8,Block C,scrambled words easy,GO,Slide23S0,square,True,space,0.715309
8,Block C,scrambled words easy,GO,Slide124S0,square,True,space,0.578082
8,Block C,scrambled words easy,GO,Slide66S0,square,True,space,0.608705
8,Block C,scrambled words easy,GO,Slide1S0,square,True,space,0.550243
8,Block C,scrambled words easy,GO,Slide212S0,square,True,space,0.501660
8,Block C,scrambled words easy,GO,Slide126S0,square,True,space,0.475941
8,Block C,scrambled words easy,GO,Slide205S0,square,True,space,0.453458
8,Block C,scrambled pics hard,GO,crosscountrybootS0,square,True,space,0.626449
8,Block C,scrambled pics hard,NO GO,beret01S0,hard,False,space,0.462147
8,Block C,scrambled pics hard,GO,greathornowlS0,square,True,space,0.580170
8,Block C,scrambled pics hard,GO,shelfS0,square,True,space,0.739121
8,Block C,scrambled pics hard,GO,lantern03S0,square,True,space,0.581780
8,Block C,scrambled pics hard,NO GO,vultureS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,pillarS0,square,True,space,0.833095
8,Block C,scrambled pics hard,GO,knife03S0,square,True,space,0.598084
8,Block C,scrambled pics hard,GO,accordion01S0,square,True,space,0.588852
8,Block C,scrambled pics hard,GO,recorder04S0,square,True,space,0.689170
8,Block C,scrambled pics hard,NO GO,morningstarS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,snowboardS0,square,False,no response,nan
8,Block C,scrambled pics hard,GO,sledgehammerS0,square,True,space,0.513278
8,Block C,scrambled pics hard,GO,swimsuitS0,square,True,space,0.521054
8,Block C,scrambled pics hard,GO,parachuteS0,square,True,space,0.515624
8,Block C,scrambled pics hard,NO GO,pigeonS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,dalmatianS0,square,True,space,0.593547
8,Block C,scrambled pics hard,NO GO,skateboardS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,blenderS0,square,True,space,0.684920
8,Block C,scrambled pics hard,GO,lighthouseS0,square,True,space,0.599069
8,Block C,scrambled pics hard,GO,fireplaceS0,square,True,space,0.536483
8,Block C,scrambled pics hard,GO,buoyS0,square,True,space,0.542467
8,Block C,scrambled pics hard,GO,sinkS0,square,True,space,0.550100
8,Block C,scrambled pics hard,NO GO,armadilloS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,suitofarmorS0,square,True,space,0.633454
8,Block C,scrambled pics hard,GO,tricycleS0,square,True,space,0.616726
8,Block C,scrambled pics hard,GO,squirrelS0,square,True,space,0.506764
8,Block C,scrambled pics hard,GO,desktopcomputerS0,square,True,space,0.551070
8,Block C,scrambled pics hard,GO,statueS0,square,True,space,0.516426
8,Block C,scrambled pics hard,GO,microphone01S0,square,True,space,0.438782
8,Block C,scrambled pics hard,NO GO,mug05S0,hard,False,space,0.532402
8,Block C,scrambled pics hard,GO,barnS0,square,True,space,0.633329
8,Block C,scrambled pics hard,GO,barrel01S0,square,False,no response,nan
8,Block C,scrambled pics hard,GO,dalmatianS0,square,True,space,0.644340
8,Block C,scrambled pics hard,NO GO,henS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,turnstileS0,square,True,space,0.574728
8,Block C,scrambled pics hard,GO,spacerocketS0,square,True,space,0.649147
8,Block C,scrambled pics hard,NO GO,keyholeS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,ferryS0,square,True,space,0.494311
8,Block C,scrambled pics hard,GO,knife03S0,square,True,space,0.598983
8,Block C,scrambled pics hard,GO,lockerS0,square,True,space,0.667934
8,Block C,scrambled pics hard,NO GO,grandpianoS0,hard,True,no response,nan
8,Block C,scrambled pics hard,GO,henS0,square,True,space,0.652286
8,Block C,scrambled pics hard,GO,marbleS0,square,True,space,0.586743
8,Block C,scrambled pics hard,GO,roosterS0,square,True,space,0.748762
8,Block C,scrambled pics hard,GO,bikewheelS0,square,True,space,0.631255
8,Block C,scrambled pics hard,GO,battleaxeS0,square,True,space,0.923614
8,Block C,scrambled pics hard,GO,tambourine03S0,square,True,space,0.878138
8,Block C,scrambled pics hard,GO,magneticcompassS0,square,True,space,0.724776
8,Block C,scrambled pics hard,GO,grandpianoS0,square,True,space,0.667303
8,Block C,scrambled pics hard,GO,trumpetS0,square,False,no response,nan
8,Block C,scrambled pics hard,GO,banjoS0,square,True,space,0.473929
8,Block C,scrambled pics hard,GO,mattressS0,square,True,space,0.742094
8,Block A,words easy,GO,handcuffs,easy,False,no response,nan
8,Block A,words easy,GO,flask,square,True,space,0.682868
8,Block A,words easy,GO,ipad,easy,True,space,0.486335
8,Block A,words easy,NO GO,rooster,easy,False,space,0.482953
8,Block A,words easy,GO,zipper,square,True,space,0.615718
8,Block A,words easy,GO,bowl,easy,True,space,0.535684
8,Block A,words easy,NO GO,cow,square,True,no response,nan
8,Block A,words easy,GO,helicopter,easy,True,space,0.549082
8,Block A,words easy,GO,camera,square,True,space,0.566513
8,Block A,words easy,GO,cello,square,True,space,0.601778
8,Block A,words easy,GO,scanner,square,True,space,0.516350
8,Block A,words easy,GO,pillar,square,True,space,0.549844
8,Block A,words easy,GO,table,square,True,space,0.699561
8,Block A,words easy,NO GO,frog,easy,True,no response,nan
8,Block A,words easy,GO,sock,easy,True,space,0.550271
8,Block A,words easy,NO GO,platypus,easy,False,space,0.499439
8,Block A,words easy,GO,shelf,easy,True,space,0.566042
8,Block A,words easy,GO,guitar,square,True,space,0.634985
8,Block A,words easy,GO,bin,square,True,space,0.550115
8,Block A,words easy,GO,paddle,square,True,space,0.599710
8,Block A,words easy,GO,trombone,square,False,no response,nan
8,Block A,words easy,NO GO,panda,square,True,no response,nan
8,Block A,words easy,GO,hose,square,True,space,0.867447
8,Block A,words easy,GO,apron,easy,True,space,0.599837
8,Block A,words easy,GO,football,easy,True,space,0.551121
8,Block A,words easy,GO,accordion,square,False,no response,nan
8,Block A,words easy,NO GO,porcupine,easy,True,no response,nan
8,Block A,words easy,GO,spoon,square,True,space,0.516438
8,Block A,words easy,GO,keyhole,square,True,space,0.552114
8,Block A,words easy,GO,bench,square,True,space,0.549460
8,Block A,words easy,GO,pot,easy,True,space,0.550193
8,Block A,words easy,NO GO,crocodile,easy,True,no response,nan
8,Block A,words easy,GO,bolt,easy,True,space,0.533358
8,Block A,words easy,GO,tap,easy,True,space,0.483668
8,Block A,words easy,GO,mask,square,True,space,0.683630
8,Block A,words easy,GO,blender,easy,True,space,0.519542
8,Block A,words easy,GO,grill,square,True,space,0.534103
8,Block A,words easy,GO,podium,easy,False,no response,nan
8,Block A,words easy,NO GO,beaver,easy,True,no response,nan
8,Block A,words easy,GO,statue,square,True,space,0.599704
8,Block A,words easy,GO,buggy,easy,True,space,0.566238
8,Block A,words easy,GO,maraca,square,False,no response,nan
8,Block A,words easy,NO GO,scorpion,easy,False,space,0.651424
8,Block A,words easy,GO,tambourine,easy,True,space,0.750141
8,Block A,words easy,GO,sword,square,True,space,0.582906
8,Block A,words easy,GO,bookshelf,easy,True,space,0.548834
8,Block A,words easy,GO,crown,easy,True,space,0.668509
8,Block A,words easy,GO,schoolbus,square,True,space,0.615993
8,Block A,words easy,GO,trophy,easy,True,space,0.483130
8,Block A,words easy,GO,tank,square,True,space,0.583530
8,Block A,words easy,GO,tuba,square,True,space,0.566990
8,Block A,words easy,GO,couch,square,True,space,0.582962
8,Block A,words easy,GO,snowman,easy,True,space,0.533101
8,Block A,words hard,GO,tyre,hard,True,space,0.485614
8,Block A,words hard,NO GO,squirrel,square,True,no response,nan
8,Block A,words hard,GO,volleyball,hard,True,space,0.598877
8,Block A,words hard,GO,boots,square,True,space,0.483908
8,Block A,words hard,NO GO,pigeon,hard,True,no response,nan
8,Block A,words hard,GO,lighthouse,square,True,space,0.599111
8,Block A,words hard,GO,fountain,hard,True,space,0.548786
8,Block A,words hard,GO,mug,hard,True,space,0.636615
8,Block A,words hard,GO,barrel,hard,True,space,0.516171
8,Block A,words hard,GO,locker,hard,True,space,0.432496
8,Block A,words hard,NO GO,ant,hard,False,space,0.432953
8,Block A,words hard,GO,file,square,True,space,0.569757
8,Block A,words hard,NO GO,shark,square,True,no response,nan
8,Block A,words hard,GO,tricycle,hard,True,space,0.599487
8,Block A,words hard,GO,frisbee,hard,True,space,0.700962
8,Block A,words hard,GO,treadmill,square,True,space,0.766636
8,Block A,words hard,GO,shoe,hard,True,space,0.501462
8,Block A,words hard,NO GO,kangaroo,hard,True,no response,nan
8,Block A,words hard,GO,xylophone,square,True,space,0.601093
8,Block A,words hard,GO,lamppost,hard,True,space,0.549303
8,Block A,words hard,GO,cork,hard,True,space,0.566995
8,Block A,words hard,GO,recorder,square,True,space,0.482860
8,Block A,words hard,GO,lantern,square,True,space,0.718947
8,Block A,words hard,GO,bridge,hard,True,space,0.549800
8,Block A,words hard,NO GO,turtle,square,False,space,0.449131
8,Block A,words hard,GO,turnstile,hard,False,no response,nan
8,Block A,words hard,GO,toolbox,square,True,space,0.555200
8,Block A,words hard,GO,marble,square,True,space,0.549741
8,Block A,words hard,GO,bell,hard,True,space,0.616879
