Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
38, 0.5312, 0.10, 84.21, 0.63, 0.5196, 0.13, 94.74, 0.55, 0.4500,         0.18, 75.00, 0.60, 0.4671, 0.11, 40.00, 1.17
39, 0.5410, 0.09, 82.05, 0.66, 0.5231, 0.08, 94.87, 0.55, 0.5206,         0.10, 95.00, 0.55, 0.6384, 0.14, 75.00, 0.85
3, 0.4786, 0.10, 52.50, 0.91, 0.4409, 0.08, 84.62, 0.52, 0.6607,         0.21, 50.00, 1.32, 0.6572, 0.16, 40.00, 1.64
40, 0.4730, 0.10, 47.37, 1.00, 0.4369, 0.06, 67.50, 0.65, 0.4249,         0.09, 76.19, 0.56, 0.4613, 0.13, 55.00, 0.84
41, 0.4790, 0.17, 53.85, 0.89, 0.4512, 0.09, 74.36, 0.61, 0.3650,         0.08, 42.86, 0.85, 0.3761, 0.09, 55.00, 0.68
42, 0.5454, 0.12, 77.50, 0.70, 0.5545, 0.10, 92.11, 0.60, 0.4676,         0.13, 89.47, 0.52, 0.4727, 0.12, 95.24, 0.50
43, 0.4877, 0.09, 84.62, 0.58, 0.4765, 0.07, 97.37, 0.49, 0.4158,         0.08, 100.00, 0.42, 0.4567, 0.09, 78.95, 0.58
44, 0.5366, 0.09, 94.87, 0.57, 0.5077, 0.09, 100.00, 0.51, 0.5020,         0.10, 100.00, 0.50, 0.5326, 0.11, 95.00, 0.56
45, 0.5664, 0.11, 72.50, 0.78, 0.5809, 0.12, 94.74, 0.61, 0.5424,         0.15, 94.44, 0.57, 0.5446, 0.12, 76.19, 0.71
46, 0.5411, 0.10, 97.50, 0.56, 0.4969, 0.07, 97.37, 0.51, 0.4075,         0.09, 94.44, 0.43, 0.4924, 0.12, 90.91, 0.54
47, 0.4832, 0.08, 76.32, 0.63, 0.4595, 0.06, 89.74, 0.51, 0.4222,         0.08, 90.00, 0.47, 0.4509, 0.12, 95.00, 0.47
