Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
36, 0.4565, 0.08, 68.42, 0.67, 0.4519, 0.07, 70.73, 0.64, 0.5209,         0.11, 88.89, 0.59, 0.4808, 0.11, 80.00, 0.60
37, 0.4939, 0.11, 53.85, 0.92, 0.4798, 0.13, 72.50, 0.66, 0.5083,         0.13, 70.00, 0.73, 0.5690, 0.16, 55.00, 1.03
38, 0.5312, 0.10, 84.21, 0.63, 0.5196, 0.13, 94.74, 0.55, 0.4500,         0.18, 75.00, 0.60, 0.4671, 0.11, 40.00, 1.17
39, 0.5410, 0.09, 82.05, 0.66, 0.5231, 0.08, 94.87, 0.55, 0.5206,         0.10, 95.00, 0.55, 0.6384, 0.14, 75.00, 0.85
3, 0.4786, 0.10, 52.50, 0.91, 0.4409, 0.08, 84.62, 0.52, 0.6607,         0.21, 50.00, 1.32, 0.6572, 0.16, 40.00, 1.64
40, 0.4730, 0.10, 47.37, 1.00, 0.4369, 0.06, 67.50, 0.65, 0.4249,         0.09, 76.19, 0.56, 0.4613, 0.13, 55.00, 0.84
4, 0.5894, 0.10, 92.11, 0.64, 0.5901, 0.11, 92.50, 0.64, 0.6137,         0.11, 100.00, 0.61, 0.5832, 0.13, 90.00, 0.65
5, 0.4724, 0.12, 47.50, 0.99, 0.5076, 0.11, 64.10, 0.79, 0.4432,         0.12, 45.00, 0.98, 0.4009, 0.11, 20.00, 2.00
6, 0.4412, 0.07, 78.95, 0.56, 0.4035, 0.05, 90.00, 0.45, 0.3794,         0.06, 80.95, 0.47, 0.3795, 0.08, 84.21, 0.45
7, 0.4979, 0.11, 82.05, 0.61, 0.5032, 0.12, 92.50, 0.54, 0.3900,         0.10, 84.21, 0.46, 0.4616, 0.14, 57.89, 0.80
8, 0.5852, 0.09, 78.95, 0.74, 0.6294, 0.10, 90.00, 0.70, 0.5768,         0.10, 100.00, 0.58, 0.6035, 0.11, 85.00, 0.71
9, 0.5392, 0.19, 52.50, 1.03, 0.6005, 0.20, 74.36, 0.81, 0.5129,         0.19, 72.22, 0.71, 0.5178, 0.17, 61.90, 0.84

z Scores 
ID, z_RT_word, z_RT_pic, z_RT_easy, z_RT_hard, z_ACC_word, z_ACC_pic, z_ACC_easy, z_ACC_hard, z_EFF_word, z_EFF_pic, z_EFF_easy, z_EFF_hard 
1, -1.097, -1.046, -0.744, -0.217, 0.530, -0.119, 0.346, -0.124, -1.081, -0.816,     -0.546, -0.228 
2, 0.026, -0.492, -1.007, -0.683, 0.530, 1.295, 1.329, 1.282, -0.549, -1.270,     -0.911, -0.878 
3, -1.005, -0.636, -0.778, -0.860, -0.434, -0.164, 0.346, -0.028, -0.281, -0.453,     -0.556, -0.466 
4, 0.173, -0.184, 1.483, 2.097, 0.309, 1.288, -2.930, -1.561, -0.306, -1.051,     4.411, 2.149 
5, 2.320, 1.369, 0.452, 0.420, 0.309, 0.771, 0.673, 0.163, 0.747, 0.402,     -0.313, -0.195 
6, -0.052, 0.571, 0.330, -0.292, 1.219, 0.447, -0.227, 0.450, -1.050, 0.045,     0.054, -0.515 
7, 0.501, -0.147, -0.425, -0.255, 1.004, -0.685, 0.346, 0.738, -0.669, 0.367,     -0.448, -0.614 
8, 0.294, -0.129, -0.064, -0.360, 0.030, -0.628, -0.309, 0.163, -0.009, 0.334,     -0.039, -0.411 
9, 0.101, 1.073, 0.072, -0.645, 2.295, 1.295, 0.736, -0.348, -1.568, -0.177,     -0.444, -0.237 
10, -0.293, 0.194, 0.165, 0.386, -0.717, -0.685, -0.746, 0.375, 0.405, 0.659,     0.301, -0.306 
11, 0.995, 0.225, 0.542, 0.460, 0.750, 1.012, 0.291, 1.066, -0.263, -0.595,     -0.129, -0.559 
12, -0.055, 0.729, 0.929, 0.324, -0.287, 1.295, 0.018, -0.699, 0.100, -0.417,     0.125, 0.327 
13, 1.139, 1.193, 1.168, 0.240, -0.795, -1.251, -2.228, -2.347, 1.333, 2.116,     2.421, 3.056 
14, 0.147, 0.166, -0.114, -0.701, 1.412, 0.751, 1.017, 0.375, -1.082, -0.468,     -0.589, -0.593 
15, 2.151, 0.891, -0.173, -0.538, -0.434, -0.119, 0.395, 0.163, 1.462, 0.743,     -0.390, -0.461 
16, -0.563, -0.790, -0.164, 0.543, -0.353, 1.295, 0.983, 1.025, -0.113, -1.478,     -0.592, -0.527 
17, -1.113, -1.254, -1.964, -1.923, -0.196, -1.113, -0.539, -0.124, -0.547, -0.242,     -0.611, -0.739 
18, 0.513, 0.318, -0.325, 0.138, -0.287, 0.447, 0.291, 0.450, 0.406, -0.146,     -0.397, -0.404 
19, -1.158, -0.987, -0.649, -0.713, -0.287, -0.454, -0.637, 0.072, -0.494, -0.528,     -0.074, -0.470 
20, -1.889, -1.433, -1.573, -1.092, -0.423, -0.685, -1.472, -0.348, -0.778, -0.735,     0.069, -0.379 
21, -1.930, -0.970, -1.731, -1.548, -0.196, -1.382, 0.637, 1.066, -0.981, 0.255,     -0.930, -1.015 
22, 0.255, 0.107, 0.456, 0.333, -0.072, -0.352, 0.084, -1.440, 0.063, 0.300,     -0.061, 1.116 
23, -0.616, -1.173, -1.280, -1.094, 1.192, 0.707, 1.001, 0.979, -1.277, -1.430,     -0.901, -0.888 
24, 0.660, 1.325, 0.717, 0.837, -0.132, -0.077, -0.227, -0.532, 0.332, 1.054,     0.187, 0.371 
25, 0.893, 0.213, 0.500, 0.967, 0.530, 0.729, 0.395, 1.282, -0.137, -0.420,     -0.187, -0.520 
26, -0.102, -0.166, -0.306, -0.439, -0.502, -0.628, -0.850, -0.302, 0.287, 0.302,     0.185, -0.198 
27, 1.114, 1.962, 1.416, 1.655, 0.483, 0.707, 0.346, 0.450, 0.006, 0.888,     0.114, -0.011 
28, -0.356, -1.156, 0.133, 0.005, -0.353, 0.707, 1.329, 1.312, 0.000, -1.418,     -0.618, -0.737 
29, -1.173, -0.963, 0.543, -0.274, -0.423, -1.651, 0.637, 0.738, -0.383, 0.519,     -0.273, -0.618 
30, -0.388, -0.467, 0.362, 0.947, -1.677, -1.456, -0.539, -0.699, 1.594, 0.796,     0.243, 0.547 
31, 0.391, 0.239, -0.474, -0.463, 0.936, 0.997, -0.227, -1.561, -0.672, -0.576,     -0.221, 0.905 
32, 0.598, 0.301, 0.538, 1.906, 0.750, 1.012, 1.017, 0.450, -0.445, -0.541,     -0.413, 0.054 
33, -0.711, -1.160, 2.547, 2.167, -1.793, -0.119, -1.784, -1.561, 1.548, -0.908,     2.437, 2.183 
34, -0.827, -1.230, -0.833, -0.543, -2.235, -2.007, -0.153, -0.699, 2.236, 0.620,     -0.377, 0.021 
35, 1.612, 1.492, 1.872, 1.143, 1.616, 0.751, 1.329, 1.312, -0.599, 0.508,     -0.171, -0.492 
36, -0.840, 0.025, -0.571, -1.378, -2.224, -2.382, -2.095, -2.710, 2.204, 2.369,     1.197, 3.154 
37, -1.494, -1.823, -1.486, -1.674, 0.483, 0.475, 0.143, 0.979, -1.240, -1.787,     -0.705, -1.022 
38, -0.306, -0.052, -1.334, -0.539, 0.750, 0.751, 0.346, -0.532, -0.861, -0.629,     -0.726, -0.091 
39, 1.524, 2.189, 1.344, 1.423, 0.483, 0.475, 1.329, 1.025, 0.202, 1.249,     -0.307, -0.325 
40, 0.559, 1.676, 0.428, 0.238, -1.793, -1.251, -0.400, -0.302, 2.461, 2.559,     0.185, 0.015 

GROUP RESULTS
Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
GROUP, 0.51, 0.12, 73.31, 0.72, 0.50, 0.12, 85.62, 0.60, 0.48, 0.14, 78.35, 0.66, 0.50, 0.14, 67.22, 0.83
